loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
30900, 36 months,16.24,1090.02,C,C5,10+ years,MORTGAGE,82000.0,Source Verified,Feb-2014,Fully Paid,moving,27.85,Jan-1994,19.0,0.0,14046,57.6,47.0,f,Individual,4.0,0.0
20000, 36 months,11.53,659.81,B,B5,1 year,RENT,92500.0,Source Verified,Jun-2015,Fully Paid,credit_card,11.4,Jan-2012,12.0,0.0,19158,41.4,13.0,w,Individual,0.0,0.0
15000, 60 months,16.29,367.09,D,D2,4 years,MORTGAGE,62000.0,Verified,Jun-2014,Fully Paid,debt_consolidation,24.31,Nov-1998,20.0,0.0,20692,56.4,37.0,f,Individual,1.0,0.0
3500, 36 months,12.29,116.74,C,C1,10+ years,OWN,36000.0,Not Verified,Aug-2015,Fully Paid,credit_card,13.33,Aug-2001,4.0,0.0,2961,87.1,7.0,w,Individual,0.0,0.0
20000, 36 months,9.93,644.69,B,B2,10+ years,OWN,79000.0,Not Verified,Sep-2017,Fully Paid,debt_consolidation,12.93,Jul-2001,8.0,0.0,7958,23.9,14.0,w,Individual,0.0,0.0
3000, 36 months,14.99,103.99,C,C4,1 year,RENT,34000.0,Source Verified,Feb-2017,Fully Paid,debt_consolidation,5.33,Aug-2011,4.0,0.0,5446,49.5,6.0,w,Individual,0.0,0.0
28000, 36 months,6.62,859.71,A,A2,9 years,RENT,198000.0,Source Verified,Dec-2013,Fully Paid,credit_card,16.11,Sep-1994,8.0,0.0,25787,36.9,21.0,f,Individual,4.0,0.0
12000, 36 months,26.24,485.03,E,E5,,MORTGAGE,52000.0,Verified,Jan-2017,Fully Paid,debt_consolidation,27.05,Aug-2005,9.0,0.0,9711,93.4,59.0,f,Individual,7.0,0.0
23500, 36 months,12.12,781.89,B,B3,4 years,MORTGAGE,60000.0,Source Verified,Sep-2012,Fully Paid,debt_consolidation,15.5,May-1984,14.0,0.0,34017,41.5,32.0,f,Individual,3.0,0.0
7000, 36 months,7.69,218.36,A,A4,7 years,MORTGAGE,95000.0,Source Verified,Jun-2014,Fully Paid,home_improvement,11.36,Dec-1999,14.0,0.0,4649,10.9,20.0,w,Individual,1.0,0.0
21000, 60 months,26.24,631.74,E,E5,3 years,RENT,75000.0,Verified,Dec-2016,Fully Paid,house,7.58,Jun-2007,19.0,0.0,1677,10.5,31.0,w,Individual,0.0,0.0
23850, 36 months,22.74,920.0,E,E1,< 1 year,RENT,64817.0,Source Verified,Jan-2017,Charged Off,debt_consolidation,24.11,Feb-2004,22.0,0.0,24335,43.7,37.0,f,Individual,0.0,0.0
4600, 36 months,20.49,172.11,E,E2,8 years,MORTGAGE,200000.0,Source Verified,Mar-2014,Fully Paid,other,6.73,Oct-1999,11.0,2.0,2382,49.6,30.0,w,Individual,1.0,0.0
11200, 60 months,13.67,258.7,C,C3,3 years,RENT,29000.0,Source Verified,Mar-2016,Charged Off,debt_consolidation,18.83,Feb-1997,13.0,0.0,10219,35.0,24.0,w,Individual,0.0,0.0
15850, 36 months,11.48,522.55,B,B2,< 1 year,RENT,36000.0,Not Verified,Sep-2009,Fully Paid,debt_consolidation,22.47,Sep-1998,9.0,0.0,19796,30.1,12.0,f,Individual,,0.0
30000, 60 months,14.33,703.2,C,C5,7 years,MORTGAGE,71000.0,Source Verified,Nov-2015,Charged Off,debt_consolidation,30.49,Aug-2003,23.0,0.0,38665,62.6,29.0,w,Individual,1.0,0.0
12000, 36 months,14.33,412.06,C,C2,,RENT,90000.0,Verified,Aug-2013,Fully Paid,credit_card,18.58,Jan-1984,7.0,0.0,25784,71.0,21.0,f,Individual,4.0,0.0
10000, 36 months,8.18,314.2,B,B1,< 1 year,MORTGAGE,110000.0,Source Verified,Nov-2015,Fully Paid,credit_card,15.03,Mar-2002,14.0,0.0,14930,57.2,28.0,w,Individual,1.0,0.0
10000, 36 months,20.0,371.64,D,D4,7 years,RENT,68000.0,Source Verified,Dec-2017,Fully Paid,other,28.66,Dec-2009,10.0,0.0,22653,70.1,16.0,w,Individual,0.0,0.0
8225, 36 months,18.99,301.46,D,D3,,RENT,28608.0,Verified,Dec-2016,Charged Off,debt_consolidation,23.69,Sep-2003,5.0,0.0,7627,64.6,12.0,w,Individual,3.0,0.0
26500, 60 months,23.1,748.58,E,E4,10+ years,MORTGAGE,60000.0,Verified,Nov-2013,Charged Off,debt_consolidation,20.08,Aug-1986,12.0,0.0,120768,61.3,24.0,f,Individual,4.0,0.0
16000, 60 months,19.19,416.73,E,E3,10+ years,MORTGAGE,65000.0,Verified,Sep-2015,Fully Paid,debt_consolidation,22.56,Nov-1998,16.0,0.0,12913,71.7,28.0,f,Individual,5.0,0.0
18000, 60 months,10.49,386.81,B,B3,10+ years,MORTGAGE,76000.0,Source Verified,Jan-2015,Fully Paid,debt_consolidation,9.56,Dec-2000,7.0,0.0,19434,89.6,18.0,w,Individual,5.0,0.0
11000, 36 months,10.49,357.48,B,B3,3 years,RENT,30000.0,Source Verified,Feb-2015,Fully Paid,credit_card,36.88,Sep-1999,12.0,0.0,13083,25.7,17.0,w,Individual,0.0,0.0
5000, 36 months,10.99,163.67,B,B4,5 years,MORTGAGE,160000.0,Verified,Oct-2015,Charged Off,debt_consolidation,13.23,Aug-1995,14.0,0.0,10203,68.9,26.0,w,Individual,0.0,0.0
35000, 36 months,8.39,1103.09,B,B1,5 years,MORTGAGE,145181.0,Source Verified,Mar-2016,Charged Off,debt_consolidation,23.33,Dec-1982,14.0,0.0,102286,73.0,23.0,w,Individual,3.0,0.0
6300, 36 months,10.78,205.6,B,B4,,RENT,23225.0,Verified,Jan-2016,Fully Paid,debt_consolidation,28.22,Aug-1989,9.0,0.0,15492,80.7,102.0,w,Individual,0.0,0.0
4250, 36 months,15.02,147.37,C,C3,10+ years,MORTGAGE,88400.0,Not Verified,Oct-2018,Fully Paid,debt_consolidation,25.7,Jul-2005,19.0,0.0,4589,14.9,46.0,w,Individual,9.0,0.0
35000, 60 months,18.45,897.37,D,D2,3 years,RENT,85000.0,Source Verified,Feb-2018,Charged Off,debt_consolidation,8.25,Feb-1995,3.0,1.0,9271,94.6,11.0,w,Individual,0.0,1.0
28000, 60 months,8.67,576.76,B,B1,10+ years,MORTGAGE,100000.0,Source Verified,Dec-2014,Fully Paid,debt_consolidation,8.17,Sep-1998,14.0,0.0,23010,16.8,30.0,w,Individual,5.0,0.0
3500, 36 months,11.49,115.4,B,B5,10+ years,OWN,60000.0,Verified,Aug-2016,Fully Paid,other,9.68,Jan-1994,8.0,0.0,7823,58.4,15.0,w,Individual,3.0,0.0
30000, 36 months,18.25,1088.34,D,D3,3 years,MORTGAGE,100000.0,Source Verified,Dec-2013,Fully Paid,debt_consolidation,15.2,Dec-2003,19.0,0.0,19849,39.9,59.0,f,Individual,1.0,0.0
15000, 36 months,12.88,504.55,C,C2,2 years,RENT,85000.0,Source Verified,Jan-2016,Fully Paid,debt_consolidation,4.69,Sep-2005,12.0,0.0,11424,38.9,23.0,w,Individual,0.0,0.0
6000, 36 months,7.62,186.97,A,A3,10+ years,RENT,41000.0,Not Verified,Mar-2012,Fully Paid,major_purchase,12.61,Sep-1995,8.0,0.0,19743,55.0,17.0,f,Individual,,0.0
26350, 60 months,28.99,836.24,G,G5,10+ years,OWN,85000.0,Verified,Feb-2016,Charged Off,credit_card,30.76,Sep-1994,15.0,0.0,23761,90.0,21.0,f,Individual,0.0,0.0
15000, 36 months,10.65,488.6,B,B2,9 years,MORTGAGE,85000.0,Verified,Oct-2011,Fully Paid,small_business,16.15,Dec-1998,14.0,0.0,338,2.6,32.0,f,Individual,,0.0
3000, 36 months,9.8,96.53,B,B3,9 years,MORTGAGE,124500.0,Source Verified,Jan-2016,Fully Paid,other,8.71,Apr-2005,12.0,0.0,18425,78.7,18.0,w,Individual,3.0,0.0
13000, 36 months,9.76,418.02,B,B3,3 years,OWN,62000.0,Source Verified,Dec-2015,Charged Off,home_improvement,9.7,Mar-1985,8.0,1.0,208,1.1,23.0,w,Individual,3.0,1.0
16000, 60 months,13.33,366.76,C,C3,< 1 year,RENT,200000.0,Source Verified,Jul-2015,Charged Off,debt_consolidation,13.8,May-1990,19.0,2.0,6250,33.6,36.0,f,Individual,2.0,1.0
8000, 36 months,22.15,306.15,E,E5,10+ years,OWN,250000.0,Verified,Aug-2014,Fully Paid,other,11.34,Jun-1997,12.0,0.0,66334,94.5,25.0,f,Individual,2.0,0.0
16750, 36 months,14.99,580.57,C,C5,10+ years,RENT,42000.0,Not Verified,Jun-2014,Fully Paid,debt_consolidation,22.32,Nov-1993,6.0,0.0,7568,93.4,24.0,w,Individual,0.0,0.0
19000, 36 months,6.99,586.58,A,A3,10+ years,MORTGAGE,60000.0,Not Verified,Jan-2016,Fully Paid,debt_consolidation,24.36,Nov-1991,25.0,0.0,20641,25.3,40.0,f,Individual,3.0,0.0
15000, 36 months,7.39,465.84,A,A4,< 1 year,RENT,140000.0,Source Verified,Feb-2016,Fully Paid,debt_consolidation,4.7,Feb-1982,14.0,0.0,14348,65.4,25.0,f,Individual,0.0,0.0
12000, 36 months,12.29,400.24,C,C1,5 years,MORTGAGE,69000.0,Source Verified,Sep-2015,Fully Paid,debt_consolidation,19.81,May-1998,12.0,0.0,10880,72.1,19.0,w,Individual,0.0,0.0
35000, 36 months,16.02,1230.85,C,C5,3 years,RENT,140000.0,Source Verified,Jun-2017,Fully Paid,debt_consolidation,13.85,Jul-1994,8.0,0.0,47171,101.9,13.0,w,Individual,5.0,0.0
4075, 36 months,15.41,142.09,D,D1,8 years,RENT,20000.0,Verified,Nov-2015,Fully Paid,debt_consolidation,24.13,Aug-2008,5.0,0.0,7813,45.7,7.0,f,Individual,0.0,0.0
9500, 36 months,9.17,302.85,B,B2,1 year,MORTGAGE,100000.0,Source Verified,Jan-2016,Fully Paid,home_improvement,8.83,Dec-2004,8.0,0.0,8887,51.1,10.0,w,Individual,1.0,0.0
10000, 36 months,11.44,329.48,B,B4,6 years,MORTGAGE,70000.0,Source Verified,Dec-2016,Fully Paid,debt_consolidation,13.89,Dec-2004,7.0,0.0,8688,64.4,8.0,w,Individual,1.0,0.0
18000, 60 months,13.66,415.67,C,C3,7 years,OWN,64000.0,Source Verified,Jan-2015,Charged Off,credit_card,8.23,Jul-1999,11.0,1.0,12802,31.2,14.0,w,Individual,0.0,0.0
4800, 60 months,13.61,110.72,C,C2,< 1 year,RENT,16000.0,Source Verified,Jul-2010,Charged Off,medical,2.78,Nov-2003,3.0,1.0,1500,30.6,3.0,f,Individual,,0.0
5000, 36 months,13.59,169.9,C,C2,< 1 year,RENT,35000.0,Not Verified,Jul-2017,Fully Paid,debt_consolidation,28.26,Oct-2005,8.0,0.0,10879,54.0,20.0,f,Individual,0.0,0.0
25000, 60 months,13.65,577.18,C,C1,10+ years,MORTGAGE,70000.0,Source Verified,Apr-2014,Fully Paid,debt_consolidation,23.98,Apr-1985,12.0,0.0,29397,69.3,18.0,w,Individual,1.0,0.0
19200, 60 months,18.55,493.32,E,E2,10+ years,OWN,40000.0,Not Verified,Jul-2015,Fully Paid,home_improvement,30.45,Jun-1992,7.0,0.0,24914,49.1,19.0,w,Individual,2.0,0.0
2500, 36 months,8.18,78.55,B,B1,,MORTGAGE,85000.0,Source Verified,Jun-2015,Fully Paid,home_improvement,19.96,Jul-2001,11.0,0.0,7640,63.7,38.0,w,Individual,0.0,0.0
12000, 36 months,10.36,389.24,B,B5,10+ years,MORTGAGE,110004.0,Not Verified,Oct-2010,Fully Paid,home_improvement,5.51,Aug-1990,6.0,0.0,15259,28.8,20.0,f,Individual,,0.0
8800, 36 months,10.99,288.06,B,B3,8 years,MORTGAGE,50000.0,Verified,Jul-2014,Fully Paid,home_improvement,14.71,Nov-1997,12.0,2.0,275,1.6,27.0,w,Individual,1.0,2.0
15000, 36 months,17.57,539.06,D,D4,9 years,RENT,100000.0,Verified,Jun-2015,Charged Off,debt_consolidation,19.75,Nov-2001,11.0,3.0,2333,41.7,17.0,w,Individual,0.0,1.0
16000, 60 months,12.85,362.83,B,B4,3 years,MORTGAGE,50000.0,Source Verified,Jan-2014,Fully Paid,credit_card,23.43,Aug-2001,13.0,0.0,17538,51.1,24.0,f,Individual,1.0,0.0
2800, 36 months,8.18,87.98,B,B1,1 year,RENT,34236.0,Source Verified,Aug-2015,Fully Paid,debt_consolidation,26.15,Nov-2000,11.0,1.0,8204,39.8,26.0,f,Individual,2.0,1.0
4800, 36 months,13.59,163.1,C,C2,10+ years,MORTGAGE,52000.0,Source Verified,May-2017,Fully Paid,debt_consolidation,23.51,Jan-1991,15.0,3.0,13886,70.5,24.0,w,Individual,1.0,0.0
12000, 36 months,11.53,395.89,B,B5,3 years,OWN,55000.0,Not Verified,Mar-2015,Fully Paid,credit_card,15.84,Jul-1994,10.0,0.0,11896,46.5,12.0,f,Individual,0.0,0.0
12000, 36 months,9.99,387.15,B,B3,10+ years,MORTGAGE,75000.0,Not Verified,Apr-2015,Fully Paid,debt_consolidation,35.19,Apr-1970,17.0,1.0,29904,73.1,36.0,f,Individual,1.0,0.0
12000, 36 months,7.26,371.96,A,A4,< 1 year,MORTGAGE,30000.0,Not Verified,Oct-2015,Fully Paid,debt_consolidation,3.36,Jun-2006,4.0,0.0,4281,22.9,13.0,w,Individual,1.0,0.0
7000, 36 months,13.11,236.23,B,B4,,RENT,24560.0,Verified,Jun-2013,Fully Paid,credit_card,8.99,Mar-1998,5.0,1.0,7044,67.1,11.0,w,Individual,0.0,1.0
20000, 60 months,11.53,440.16,B,B5,3 years,MORTGAGE,104000.0,Verified,Aug-2015,Fully Paid,debt_consolidation,7.02,May-1996,3.0,1.0,8645,65.0,30.0,w,Individual,3.0,1.0
10000, 36 months,29.69,422.82,F,F2,3 years,OWN,42163.0,Verified,Jun-2017,Fully Paid,debt_consolidation,20.61,Aug-2007,10.0,0.0,6621,34.1,16.0,w,Individual,0.0,0.0
14125, 60 months,16.78,349.38,C,C5,5 years,RENT,70000.0,Verified,Aug-2013,Fully Paid,debt_consolidation,13.59,Nov-1996,12.0,1.0,5720,40.9,30.0,f,Individual,4.0,1.0
10000, 36 months,7.91,312.95,A,A5,5 years,RENT,35000.0,Not Verified,Jan-2016,Fully Paid,credit_card,20.4,Feb-1997,7.0,0.0,15645,50.1,14.0,w,Individual,0.0,0.0
6000, 36 months,7.49,186.61,A,A4,< 1 year,RENT,45000.0,Verified,Jan-2016,Fully Paid,debt_consolidation,21.04,Sep-2005,7.0,0.0,5763,86.0,18.0,w,Individual,0.0,0.0
18000, 36 months,13.99,615.11,C,C4,10+ years,OWN,76000.0,Verified,Oct-2015,Charged Off,debt_consolidation,15.32,Aug-1985,18.0,1.0,7961,23.6,36.0,f,Individual,1.0,1.0
13200, 36 months,10.75,430.59,B,B4,7 years,MORTGAGE,110000.0,Source Verified,Apr-2016,Fully Paid,other,10.27,Oct-2005,5.0,0.0,13213,76.4,17.0,w,Individual,3.0,0.0
20000, 36 months,7.39,621.12,A,A4,10+ years,MORTGAGE,105000.0,Verified,Feb-2016,Fully Paid,credit_card,34.39,May-1979,14.0,0.0,115102,88.0,27.0,w,Individual,6.0,0.0
9000, 36 months,7.26,278.97,A,A4,10+ years,MORTGAGE,115000.0,Not Verified,Jul-2015,Fully Paid,home_improvement,19.69,Mar-1987,16.0,0.0,38899,74.2,35.0,f,Individual,3.0,0.0
10000, 36 months,19.03,366.72,D,D3,10+ years,RENT,55000.0,Source Verified,May-2017,Fully Paid,debt_consolidation,21.05,Aug-2001,15.0,1.0,25799,41.7,30.0,f,Individual,0.0,0.0
10000, 36 months,9.71,321.32,B,B1,10+ years,MORTGAGE,55000.0,Not Verified,Sep-2013,Fully Paid,debt_consolidation,4.93,Jun-1999,9.0,1.0,6319,50.6,20.0,f,Individual,1.0,1.0
23850, 60 months,24.83,697.66,G,G2,8 years,MORTGAGE,116000.0,Verified,Jun-2013,Charged Off,home_improvement,13.61,Dec-1993,10.0,0.0,9656,61.1,36.0,w,Individual,3.0,0.0
11200, 60 months,19.99,296.67,E,E1,4 years,RENT,77115.0,Verified,Mar-2016,Fully Paid,debt_consolidation,23.19,Dec-2000,14.0,0.0,4205,87.6,23.0,w,Individual,0.0,0.0
19000, 36 months,18.06,687.47,D,D2,10+ years,MORTGAGE,90000.0,Verified,Jun-2017,Charged Off,credit_card,34.69,Mar-1997,18.0,0.0,17698,60.4,35.0,w,Individual,2.0,0.0
6000, 36 months,6.24,183.19,A,A2,< 1 year,RENT,46000.0,Not Verified,Sep-2015,Fully Paid,debt_consolidation,7.98,Aug-2002,14.0,1.0,1030,7.8,19.0,w,Individual,0.0,0.0
9000, 36 months,12.74,302.12,C,C1,3 years,RENT,134000.0,Source Verified,Mar-2017,Fully Paid,debt_consolidation,21.95,Dec-1996,16.0,0.0,53504,65.2,38.0,f,Individual,0.0,0.0
15000, 36 months,7.26,464.95,A,A4,9 years,RENT,125000.0,Not Verified,Aug-2015,Fully Paid,debt_consolidation,13.8,Aug-1992,23.0,0.0,20800,19.4,34.0,f,Individual,0.0,0.0
30000, 36 months,11.99,996.29,C,C1,10+ years,MORTGAGE,198000.0,Verified,Apr-2016,Fully Paid,debt_consolidation,16.37,Jan-2004,11.0,0.0,14478,68.6,22.0,w,Individual,1.0,0.0
21000, 36 months,10.99,687.42,B,B2,10+ years,RENT,130000.0,Verified,Mar-2014,Charged Off,credit_card,12.04,May-1999,11.0,0.0,28439,69.4,27.0,w,Individual,1.0,0.0
1600, 36 months,15.31,55.71,C,C2,1 year,RENT,60000.0,Not Verified,Oct-2012,Fully Paid,medical,12.86,Jul-2006,6.0,0.0,27682,92.6,8.0,f,Individual,0.0,0.0
20000, 36 months,7.9,625.81,A,A4,2 years,RENT,65000.0,Source Verified,May-2014,Fully Paid,debt_consolidation,14.53,Jul-2000,9.0,0.0,24998,57.6,31.0,w,Individual,0.0,0.0
6000, 36 months,6.99,185.24,A,A3,< 1 year,RENT,55182.4,Verified,Aug-2011,Fully Paid,other,20.75,Sep-2000,9.0,0.0,5735,59.7,23.0,f,Individual,,0.0
12500, 36 months,6.03,380.45,A,A1,9 years,MORTGAGE,55000.0,Not Verified,Jul-2013,Fully Paid,debt_consolidation,14.47,Jul-1995,7.0,0.0,7681,40.9,13.0,f,Individual,4.0,0.0
11275, 60 months,25.78,336.12,F,F5,4 years,OWN,46000.0,Verified,Jun-2015,Fully Paid,debt_consolidation,7.93,Mar-1996,13.0,1.0,8099,35.8,41.0,f,Individual,3.0,1.0
12000, 60 months,20.99,324.58,E,E5,10+ years,MORTGAGE,49920.0,Source Verified,May-2015,Fully Paid,debt_consolidation,22.6,May-1998,7.0,0.0,3340,79.5,18.0,f,Individual,4.0,0.0
12000, 36 months,13.49,407.17,C,C2,10+ years,OWN,55000.0,Verified,Oct-2016,Fully Paid,debt_consolidation,22.5,Feb-2001,17.0,0.0,13045,30.4,28.0,w,Individual,0.0,0.0
7500, 36 months,14.64,258.67,C,C3,10+ years,RENT,69000.0,Verified,May-2014,Charged Off,debt_consolidation,15.08,Apr-1984,25.0,1.0,10342,49.0,49.0,f,Individual,3.0,1.0
6000, 36 months,13.33,203.12,C,C3,8 years,RENT,66000.0,Not Verified,Apr-2015,Fully Paid,medical,20.11,Sep-1996,16.0,0.0,7058,50.8,26.0,f,Individual,0.0,0.0
20000, 36 months,9.49,640.57,B,B2,10+ years,MORTGAGE,78000.0,Source Verified,Feb-2015,Fully Paid,credit_card,16.76,Jun-1998,10.0,3.0,24416,95.4,19.0,w,Individual,4.0,0.0
7000, 36 months,5.32,210.81,A,A1,3 years,MORTGAGE,60000.0,Not Verified,Dec-2016,Fully Paid,credit_card,18.68,Apr-2008,19.0,0.0,10000,15.6,37.0,f,Individual,1.0,0.0
28000, 36 months,7.89,876.0,A,A5,10+ years,OWN,107863.0,Not Verified,Nov-2015,Fully Paid,debt_consolidation,13.02,May-1977,13.0,0.0,78736,37.8,23.0,w,Individual,1.0,0.0
4075, 36 months,23.43,158.66,F,F1,10+ years,RENT,37000.0,Not Verified,Jun-2014,Charged Off,other,12.13,Jul-2000,10.0,0.0,18578,74.0,18.0,w,Individual,0.0,0.0
17450, 36 months,9.76,561.1,B,B1,3 years,RENT,50000.0,Source Verified,Apr-2012,Fully Paid,debt_consolidation,13.13,Mar-1996,9.0,0.0,24387,42.0,22.0,f,Individual,0.0,0.0
7100, 36 months,19.52,262.13,D,D4,6 years,OWN,40000.0,Not Verified,Oct-2013,Fully Paid,credit_card,13.5,Jul-2007,12.0,0.0,17011,90.5,16.0,w,Individual,0.0,0.0
30000, 36 months,15.88,1052.94,C,C4,10+ years,RENT,75000.0,Verified,Jul-2013,Fully Paid,debt_consolidation,11.46,Aug-2001,6.0,0.0,20637,65.1,19.0,f,Individual,0.0,0.0
27000, 60 months,16.29,660.76,C,C4,7 years,RENT,120000.0,Verified,Mar-2013,Charged Off,debt_consolidation,4.88,Jul-2000,7.0,0.0,20130,83.5,14.0,w,Individual,0.0,0.0
12000, 36 months,6.62,368.45,A,A2,2 years,RENT,46000.0,Not Verified,May-2012,Fully Paid,credit_card,16.35,Aug-1989,11.0,0.0,17474,35.1,18.0,f,Individual,0.0,0.0
10000, 36 months,15.58,349.51,D,D3,3 years,RENT,57600.0,Verified,Aug-2010,Fully Paid,credit_card,17.1,Dec-1997,11.0,0.0,6793,64.7,23.0,f,Individual,,0.0
3800, 36 months,13.67,129.27,C,C3,6 years,MORTGAGE,50000.0,Source Verified,Mar-2016,Fully Paid,debt_consolidation,19.32,Dec-1994,16.0,0.0,12901,30.7,41.0,w,Individual,3.0,0.0
10000, 36 months,13.67,340.18,B,B5,10+ years,RENT,57000.0,Source Verified,Nov-2013,Fully Paid,debt_consolidation,3.49,Aug-2002,5.0,0.0,4607,79.4,10.0,f,Individual,0.0,0.0
7000, 36 months,6.62,214.93,A,A2,3 years,RENT,65000.0,Verified,Nov-2012,Fully Paid,small_business,10.28,Oct-1978,6.0,0.0,3491,24.2,14.0,w,Individual,2.0,0.0
10975, 36 months,11.53,362.07,B,B5,1 year,RENT,45000.0,Verified,Mar-2015,Fully Paid,debt_consolidation,28.61,Mar-2007,11.0,0.0,395,3.0,13.0,w,Individual,0.0,0.0
16000, 36 months,10.99,523.75,B,B2,10+ years,MORTGAGE,140000.0,Verified,Mar-2014,Fully Paid,debt_consolidation,23.44,Mar-1973,15.0,1.0,9538,55.5,47.0,w,Individual,3.0,0.0
2500, 36 months,17.57,89.85,D,D4,,OWN,16560.0,Verified,Jul-2015,Fully Paid,debt_consolidation,26.88,Oct-1987,7.0,1.0,10179,61.0,20.0,w,Individual,2.0,0.0
16800, 36 months,10.99,549.94,B,B3,10+ years,MORTGAGE,57000.0,Source Verified,Aug-2014,Fully Paid,debt_consolidation,14.76,Nov-1985,11.0,0.0,13269,71.0,28.0,f,Individual,2.0,0.0
2375, 36 months,24.99,94.42,F,F4,1 year,RENT,22000.0,Not Verified,Aug-2014,Charged Off,major_purchase,12.66,Jul-2011,10.0,0.0,2585,63.0,11.0,f,Individual,0.0,0.0
35000, 36 months,7.59,1090.17,A,A3,10+ years,MORTGAGE,240000.0,Source Verified,Oct-2016,Fully Paid,debt_consolidation,4.94,Jun-2010,16.0,0.0,16074,24.3,21.0,w,Individual,2.0,0.0
20925, 60 months,20.75,563.16,E,E2,3 years,RENT,89000.0,Verified,Mar-2016,Fully Paid,debt_consolidation,7.08,Aug-1994,9.0,0.0,1100,8.0,29.0,w,Individual,0.0,0.0
22500, 60 months,13.99,523.42,C,C4,10+ years,RENT,80000.0,Source Verified,Apr-2015,Charged Off,debt_consolidation,27.96,Nov-1995,11.0,0.0,24470,67.0,35.0,w,Individual,2.0,0.0
20000, 36 months,7.99,626.64,A,A5,6 years,RENT,95000.0,Not Verified,Nov-2016,Fully Paid,debt_consolidation,12.73,Oct-2010,9.0,0.0,11552,79.7,10.0,w,Individual,1.0,0.0
16000, 60 months,12.29,358.27,C,C1,,RENT,54000.0,Verified,Sep-2015,Charged Off,debt_consolidation,30.82,Jun-1988,16.0,0.0,17523,64.4,33.0,w,Individual,1.0,0.0
21000, 60 months,15.88,509.35,C,C4,8 years,MORTGAGE,92000.0,Source Verified,Jul-2013,Fully Paid,credit_card,14.48,Jun-1995,12.0,0.0,21229,34.6,27.0,w,Individual,0.0,0.0
18000, 36 months,11.44,593.06,B,B4,8 years,OWN,67267.2,Source Verified,Dec-2014,Fully Paid,debt_consolidation,19.07,Nov-1999,8.0,0.0,29162,98.5,19.0,f,Individual,2.0,0.0
