loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,annual_inc,verification_status,loan_status,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,mort_acc_missing,credit_history_years,issue_years,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,initial_list_status_w,application_type_Joint App,emp_length_unknown
3500,0,12.29,116.74,2,10,10.0,36000.0,0,0,0.16351606805293006,13.33,4.0,0.0,2961,87.1,7.0,0.0,0.0,0,17.415468856947296,3.4168377823408624,False,True,False,True,False,0
20000,0,9.93,644.69,1,6,10.0,79000.0,0,0,0.21166608452672023,12.93,8.0,0.0,7958,23.9,14.0,0.0,0.0,0,17.50034223134839,1.3305954825462012,False,True,False,True,False,0
3000,0,14.99,103.99,2,13,1.0,34000.0,2,0,0.21166608452672023,5.33,4.0,0.0,5446,49.5,6.0,0.0,0.0,0,7.416837782340862,1.9110198494182067,False,False,True,True,False,0
28000,0,6.62,859.71,0,1,9.0,198000.0,2,0,0.16351606805293006,16.11,8.0,0.0,25787,36.9,21.0,4.0,0.0,0,24.331279945242983,5.08145106091718,False,False,True,False,False,0
12000,0,26.24,485.03,4,24,10.0,52000.0,1,0,0.21166608452672023,27.05,9.0,0.0,9711,93.4,59.0,7.0,0.0,0,13.415468856947296,1.995893223819302,True,False,False,False,False,1
23500,0,12.12,781.89,1,7,4.0,60000.0,2,0,0.21166608452672023,15.5,14.0,0.0,34017,41.5,32.0,3.0,0.0,0,34.666666666666664,6.329911019849418,True,False,False,False,False,0
7000,0,7.69,218.36,0,3,7.0,95000.0,2,0,0.17096774193548386,11.36,14.0,0.0,4649,10.9,20.0,1.0,0.0,0,19.082819986310746,4.583162217659138,True,False,False,True,False,0
21000,1,26.24,631.74,4,24,3.0,75000.0,1,0,0.16216216216216217,7.58,19.0,0.0,1677,10.5,31.0,0.0,0.0,0,11.58384668035592,2.080766598220397,False,False,True,True,False,0
23850,0,22.74,920.0,4,20,0.0,64817.0,2,1,0.21166608452672023,24.11,22.0,0.0,24335,43.7,37.0,0.0,0.0,0,14.913073237508556,1.995893223819302,False,False,True,False,False,0
4600,0,20.49,172.11,4,21,8.0,200000.0,2,0,0.2225705329153605,6.73,11.0,2.0,2382,49.6,30.0,1.0,0.0,0,19.249828884325805,4.8350444900752905,True,False,False,True,False,0
11200,1,13.67,258.7,2,12,3.0,29000.0,2,1,0.21166608452672023,18.83,13.0,0.0,10219,35.0,24.0,0.0,0.0,0,21.911019849418206,2.833675564681725,False,False,True,True,False,0
15850,0,11.48,522.55,1,6,0.0,36000.0,0,0,0.21166608452672023,22.47,9.0,0.0,19796,30.1,12.0,1.0,0.0,1,20.331279945242983,9.330595482546201,False,False,True,False,False,0
30000,1,14.33,703.2,2,14,7.0,71000.0,2,1,0.21166608452672023,30.49,23.0,0.0,38665,62.6,29.0,1.0,0.0,0,15.416837782340862,3.164955509924709,True,False,False,True,False,0
12000,0,14.33,412.06,2,11,10.0,90000.0,1,0,0.16351606805293006,18.58,7.0,0.0,25784,71.0,21.0,4.0,0.0,0,34.997946611909654,5.415468856947296,False,False,True,False,False,1
10000,0,8.18,314.2,1,5,0.0,110000.0,2,0,0.16351606805293006,15.03,14.0,0.0,14930,57.2,28.0,1.0,0.0,0,16.83504449007529,3.164955509924709,True,False,False,True,False,0
10000,0,20.0,371.64,3,18,7.0,68000.0,2,0,0.2225705329153605,28.66,10.0,0.0,22653,70.1,16.0,0.0,0.0,0,9.08145106091718,1.08145106091718,False,False,True,True,False,0
8225,0,18.99,301.46,3,17,10.0,28608.0,1,1,0.21166608452672023,23.69,5.0,0.0,7627,64.6,12.0,3.0,0.0,0,15.331964407939767,2.080766598220397,False,False,True,True,False,1
26500,1,23.1,748.58,4,23,10.0,60000.0,1,1,0.21166608452672023,20.08,12.0,0.0,120768,61.3,24.0,4.0,0.0,0,32.41615331964408,5.163586584531143,True,False,False,False,False,0
16000,1,19.19,416.73,4,22,10.0,65000.0,1,0,0.21166608452672023,22.56,16.0,0.0,12913,71.7,28.0,5.0,0.0,0,20.164271047227928,3.3319644079397674,True,False,False,False,False,0
18000,1,10.49,386.81,1,7,10.0,76000.0,2,0,0.21166608452672023,9.56,7.0,0.0,19434,89.6,18.0,5.0,0.0,0,18.080766598220396,3.997262149212868,True,False,False,True,False,0
11000,0,10.49,357.48,1,7,3.0,30000.0,2,0,0.16351606805293006,36.88,12.0,0.0,13083,25.7,17.0,0.0,0.0,0,19.33196440793977,3.912388774811773,False,False,True,True,False,0
5000,0,10.99,163.67,1,8,5.0,160000.0,1,1,0.21166608452672023,13.23,14.0,0.0,10203,68.9,26.0,0.0,0.0,0,23.416837782340863,3.249828884325804,True,False,False,True,False,0
35000,0,8.39,1103.09,1,5,5.0,145181.0,2,1,0.21166608452672023,23.33,14.0,0.0,102286,73.0,23.0,3.0,0.0,0,36.082135523613964,2.833675564681725,True,False,False,True,False,0
6300,0,10.78,205.6,1,8,10.0,23225.0,1,0,0.21166608452672023,28.22,9.0,0.0,15492,80.7,102.0,0.0,0.0,0,29.415468856947296,2.9979466119096507,False,False,True,True,False,1
4250,0,15.02,147.37,2,12,10.0,88400.0,0,0,0.21166608452672023,25.7,19.0,0.0,4589,14.9,46.0,9.0,0.0,0,13.500342231348391,0.24914442162902123,True,False,False,True,False,0
35000,1,18.45,897.37,3,16,3.0,85000.0,2,1,0.21166608452672023,8.25,3.0,1.0,9271,94.6,11.0,0.0,1.0,0,23.912388774811774,0.9117043121149897,False,False,True,True,False,0
28000,1,8.67,576.76,1,5,10.0,100000.0,2,0,0.21166608452672023,8.17,14.0,0.0,23010,16.8,30.0,5.0,0.0,0,20.331279945242983,4.082135523613963,True,False,False,True,False,0
3500,0,11.49,115.4,1,9,10.0,60000.0,1,0,0.2225705329153605,9.68,8.0,0.0,7823,58.4,15.0,3.0,0.0,0,24.996577686516083,2.414784394250513,False,True,False,True,False,0
30000,0,18.25,1088.34,3,17,3.0,100000.0,2,0,0.21166608452672023,15.2,19.0,0.0,19849,39.9,59.0,1.0,0.0,0,15.082819986310746,5.08145106091718,True,False,False,False,False,0
15000,0,12.88,504.55,2,11,2.0,85000.0,2,0,0.21166608452672023,4.69,12.0,0.0,11424,38.9,23.0,0.0,0.0,0,13.330595482546201,2.9979466119096507,False,False,True,True,False,0
6000,0,7.62,186.97,0,2,10.0,41000.0,0,0,0.1796875,12.61,8.0,0.0,19743,55.0,17.0,1.0,0.0,1,23.33196440793977,6.833675564681725,False,False,True,False,False,0
26350,1,28.99,836.24,6,34,10.0,85000.0,1,1,0.16351606805293006,30.76,15.0,0.0,23761,90.0,21.0,0.0,0.0,0,24.331279945242983,2.9130732375085557,False,True,False,False,False,0
15000,0,10.65,488.6,1,6,9.0,85000.0,1,0,0.29850746268656714,16.15,14.0,0.0,338,2.6,32.0,1.0,0.0,1,20.082135523613964,7.2498288843258045,True,False,False,False,False,0
3000,0,9.8,96.53,1,7,9.0,124500.0,2,0,0.2225705329153605,8.71,12.0,0.0,18425,78.7,18.0,3.0,0.0,0,13.749486652977414,2.9979466119096507,True,False,False,True,False,0
13000,0,9.76,418.02,1,7,3.0,62000.0,2,1,0.17096774193548386,9.7,8.0,1.0,208,1.1,23.0,3.0,1.0,0,33.83436002737851,3.082819986310746,False,True,False,True,False,0
16000,1,13.33,366.76,2,12,0.0,200000.0,2,1,0.21166608452672023,13.8,19.0,2.0,6250,33.6,36.0,2.0,1.0,0,28.66803559206023,3.5017111567419574,False,False,True,False,False,0
8000,0,22.15,306.15,4,24,10.0,250000.0,1,0,0.2225705329153605,11.34,12.0,0.0,66334,94.5,25.0,2.0,0.0,0,21.582477754962355,4.41615331964408,False,True,False,False,False,0
16750,0,14.99,580.57,2,14,10.0,42000.0,0,0,0.21166608452672023,22.32,6.0,0.0,7568,93.4,24.0,0.0,0.0,0,25.163586584531142,4.583162217659138,False,False,True,True,False,0
19000,0,6.99,586.58,0,2,10.0,60000.0,0,0,0.21166608452672023,24.36,25.0,0.0,20641,25.3,40.0,3.0,0.0,0,27.16495550992471,2.9979466119096507,True,False,False,False,False,0
15000,0,7.39,465.84,0,3,0.0,140000.0,2,0,0.21166608452672023,4.7,14.0,0.0,14348,65.4,25.0,0.0,0.0,0,36.91170431211499,2.9130732375085557,False,False,True,False,False,0
12000,0,12.29,400.24,2,10,5.0,69000.0,2,0,0.21166608452672023,19.81,12.0,0.0,10880,72.1,19.0,0.0,0.0,0,20.66803559206023,3.3319644079397674,True,False,False,True,False,0
35000,0,16.02,1230.85,2,14,3.0,140000.0,2,0,0.21166608452672023,13.85,8.0,0.0,47171,101.9,13.0,5.0,0.0,0,24.501026694045173,1.5824777549623545,False,False,True,True,False,0
4075,0,15.41,142.09,3,15,8.0,20000.0,1,0,0.21166608452672023,24.13,5.0,0.0,7813,45.7,7.0,0.0,0.0,0,10.414784394250514,3.164955509924709,False,False,True,False,False,0
9500,0,9.17,302.85,1,6,1.0,100000.0,2,0,0.17096774193548386,8.83,8.0,0.0,8887,51.1,10.0,1.0,0.0,0,14.080766598220396,2.9979466119096507,True,False,False,True,False,0
10000,0,11.44,329.48,1,8,6.0,70000.0,2,0,0.21166608452672023,13.89,7.0,0.0,8688,64.4,8.0,1.0,0.0,0,14.080766598220396,2.080766598220397,True,False,False,True,False,0
18000,1,13.66,415.67,2,12,7.0,64000.0,2,1,0.16351606805293006,8.23,11.0,1.0,12802,31.2,14.0,0.0,0.0,0,19.50171115674196,3.997262149212868,False,True,False,True,False,0
4800,1,13.61,110.72,2,11,0.0,16000.0,2,1,0.22972972972972974,2.78,3.0,1.0,1500,30.6,3.0,1.0,0.0,1,15.16495550992471,8.501026694045175,False,False,True,False,False,0
5000,0,13.59,169.9,2,11,0.0,35000.0,0,0,0.21166608452672023,28.26,8.0,0.0,10879,54.0,20.0,0.0,0.0,0,13.248459958932239,1.5003422313483916,False,False,True,False,False,0
25000,1,13.65,577.18,2,10,10.0,70000.0,2,0,0.21166608452672023,23.98,12.0,0.0,29397,69.3,18.0,1.0,0.0,0,33.74948665297741,4.7501711156741955,True,False,False,True,False,0
19200,1,18.55,493.32,4,21,10.0,40000.0,0,0,0.17096774193548386,30.45,7.0,0.0,24914,49.1,19.0,2.0,0.0,0,26.581793292265573,3.5017111567419574,False,True,False,True,False,0
2500,0,8.18,78.55,1,5,10.0,85000.0,2,0,0.17096774193548386,19.96,11.0,0.0,7640,63.7,38.0,0.0,0.0,0,17.50034223134839,3.583846680355921,True,False,False,True,False,1
12000,0,10.36,389.24,1,9,10.0,110004.0,0,0,0.17096774193548386,5.51,6.0,0.0,15259,28.8,20.0,1.0,0.0,1,28.416153319644078,8.24914442162902,True,False,False,False,False,0
8800,0,10.99,288.06,1,7,8.0,50000.0,1,0,0.17096774193548386,14.71,12.0,2.0,275,1.6,27.0,1.0,2.0,0,21.163586584531142,4.501026694045175,True,False,False,True,False,0
15000,0,17.57,539.06,3,18,9.0,100000.0,1,1,0.21166608452672023,19.75,11.0,3.0,2333,41.7,17.0,0.0,1.0,0,17.163586584531142,3.583846680355921,False,False,True,True,False,0
16000,1,12.85,362.83,1,8,3.0,50000.0,2,0,0.16351606805293006,23.43,13.0,0.0,17538,51.1,24.0,1.0,0.0,0,17.415468856947296,4.996577686516085,True,False,False,False,False,0
2800,0,8.18,87.98,1,5,1.0,34236.0,2,0,0.21166608452672023,26.15,11.0,1.0,8204,39.8,26.0,2.0,1.0,0,18.16290212183436,3.4168377823408624,False,False,True,False,False,0
4800,0,13.59,163.1,2,11,10.0,52000.0,2,0,0.21166608452672023,23.51,15.0,3.0,13886,70.5,24.0,1.0,0.0,0,27.99726214921287,1.6673511293634498,True,False,False,True,False,0
12000,0,11.53,395.89,1,9,3.0,55000.0,0,0,0.16351606805293006,15.84,10.0,0.0,11896,46.5,12.0,0.0,0.0,0,24.501026694045173,3.8357289527720737,False,True,False,False,False,0
12000,0,9.99,387.15,1,7,10.0,75000.0,0,0,0.21166608452672023,35.19,17.0,1.0,29904,73.1,36.0,1.0,0.0,0,48.7501711156742,3.7508555783709787,True,False,False,False,False,0
12000,0,7.26,371.96,0,3,0.0,30000.0,0,0,0.21166608452672023,3.36,4.0,0.0,4281,22.9,13.0,1.0,0.0,0,12.583162217659138,3.249828884325804,True,False,False,True,False,0
7000,0,13.11,236.23,1,8,10.0,24560.0,1,0,0.16351606805293006,8.99,5.0,1.0,7044,67.1,11.0,0.0,1.0,0,20.83504449007529,5.582477754962355,False,False,True,True,False,1
20000,1,11.53,440.16,1,9,3.0,104000.0,1,0,0.21166608452672023,7.02,3.0,1.0,8645,65.0,30.0,3.0,1.0,0,22.666666666666668,3.4168377823408624,True,False,False,True,False,0
10000,0,29.69,422.82,5,26,3.0,42163.0,1,0,0.21166608452672023,20.61,10.0,0.0,6621,34.1,16.0,0.0,0.0,0,11.416837782340862,1.5824777549623545,False,True,False,True,False,0
14125,1,16.78,349.38,2,14,5.0,70000.0,1,0,0.21166608452672023,13.59,12.0,1.0,5720,40.9,30.0,4.0,1.0,0,22.16290212183436,5.415468856947296,False,False,True,False,False,0
10000,0,7.91,312.95,0,4,5.0,35000.0,0,0,0.16351606805293006,20.4,7.0,0.0,15645,50.1,14.0,0.0,0.0,0,21.911019849418206,2.9979466119096507,False,False,True,True,False,0
6000,0,7.49,186.61,0,3,0.0,45000.0,1,0,0.21166608452672023,21.04,7.0,0.0,5763,86.0,18.0,0.0,0.0,0,13.330595482546201,2.9979466119096507,False,False,True,True,False,0
18000,0,13.99,615.11,2,13,10.0,76000.0,1,1,0.21166608452672023,15.32,18.0,1.0,7961,23.6,36.0,1.0,1.0,0,33.4154688569473,3.249828884325804,False,True,False,False,False,0
13200,0,10.75,430.59,1,8,7.0,110000.0,2,0,0.2225705329153605,10.27,5.0,0.0,13213,76.4,17.0,3.0,0.0,0,13.248459958932239,2.74880219028063,True,False,False,True,False,0
20000,0,7.39,621.12,0,3,10.0,105000.0,1,0,0.16351606805293006,34.39,14.0,0.0,115102,88.0,27.0,6.0,0.0,0,39.66872005475702,2.9130732375085557,True,False,False,True,False,0
9000,0,7.26,278.97,0,3,10.0,115000.0,0,0,0.17096774193548386,19.69,16.0,0.0,38899,74.2,35.0,3.0,0.0,0,31.835728952772072,3.5017111567419574,True,False,False,False,False,0
10000,0,19.03,366.72,3,17,10.0,55000.0,2,0,0.21166608452672023,21.05,15.0,1.0,25799,41.7,30.0,0.0,0.0,0,17.415468856947296,1.6673511293634498,False,False,True,False,False,0
10000,0,9.71,321.32,1,5,10.0,55000.0,0,0,0.21166608452672023,4.93,9.0,1.0,6319,50.6,20.0,1.0,1.0,0,19.583846680355922,5.330595482546201,True,False,False,False,False,0
23850,1,24.83,697.66,6,31,8.0,116000.0,1,1,0.17096774193548386,13.61,10.0,0.0,9656,61.1,36.0,3.0,0.0,0,25.08145106091718,5.582477754962355,True,False,False,True,False,0
11200,1,19.99,296.67,4,20,4.0,77115.0,1,0,0.21166608452672023,23.19,14.0,0.0,4205,87.6,23.0,0.0,0.0,0,18.080766598220396,2.833675564681725,False,False,True,True,False,0
19000,0,18.06,687.47,3,16,10.0,90000.0,1,1,0.16351606805293006,34.69,18.0,0.0,17698,60.4,35.0,2.0,0.0,0,21.83436002737851,1.5824777549623545,True,False,False,True,False,0
6000,0,6.24,183.19,0,1,0.0,46000.0,0,0,0.21166608452672023,7.98,14.0,1.0,1030,7.8,19.0,0.0,0.0,0,16.416153319644078,3.3319644079397674,False,False,True,True,False,0
9000,0,12.74,302.12,2,10,3.0,134000.0,2,0,0.21166608452672023,21.95,16.0,0.0,53504,65.2,38.0,0.0,0.0,0,22.080766598220396,1.834360027378508,False,False,True,False,False,0
15000,0,7.26,464.95,0,3,9.0,125000.0,0,0,0.21166608452672023,13.8,23.0,0.0,20800,19.4,34.0,0.0,0.0,0,26.414784394250514,3.4168377823408624,False,False,True,False,False,0
30000,0,11.99,996.29,2,10,10.0,198000.0,1,0,0.21166608452672023,16.37,11.0,0.0,14478,68.6,22.0,1.0,0.0,0,14.99794661190965,2.74880219028063,True,False,False,True,False,0
21000,0,10.99,687.42,1,6,10.0,130000.0,1,1,0.16351606805293006,12.04,11.0,0.0,28439,69.4,27.0,1.0,0.0,0,19.668720054757017,4.8350444900752905,False,False,True,True,False,0
1600,0,15.31,55.71,2,11,1.0,60000.0,0,0,0.22972972972972974,12.86,6.0,0.0,27682,92.6,8.0,0.0,0.0,0,12.501026694045175,6.247775496235455,False,False,True,False,False,0
20000,0,7.9,625.81,0,3,2.0,65000.0,2,0,0.21166608452672023,14.53,9.0,0.0,24998,57.6,31.0,0.0,0.0,0,18.49965776865161,4.6680355920602326,False,False,True,True,False,0
6000,0,6.99,185.24,0,2,0.0,55182.4,1,0,0.2225705329153605,20.75,9.0,0.0,5735,59.7,23.0,1.0,0.0,1,18.32991101984942,7.416837782340862,False,False,True,False,False,0
12500,0,6.03,380.45,0,0,9.0,55000.0,0,0,0.21166608452672023,14.47,7.0,0.0,7681,40.9,13.0,4.0,0.0,0,23.50171115674196,5.500342231348392,True,False,False,False,False,0
11275,1,25.78,336.12,5,29,4.0,46000.0,1,0,0.21166608452672023,7.93,13.0,1.0,8099,35.8,41.0,3.0,1.0,0,22.833675564681723,3.583846680355921,False,True,False,False,False,0
12000,1,20.99,324.58,4,24,10.0,49920.0,2,0,0.21166608452672023,22.6,7.0,0.0,3340,79.5,18.0,4.0,0.0,0,20.66803559206023,3.668720054757016,True,False,False,False,False,0
12000,0,13.49,407.17,2,11,10.0,55000.0,1,0,0.21166608452672023,22.5,17.0,0.0,13045,30.4,28.0,0.0,0.0,0,17.911019849418206,2.2477754962354553,False,True,False,True,False,0
7500,0,14.64,258.67,2,12,10.0,69000.0,1,1,0.21166608452672023,15.08,25.0,1.0,10342,49.0,49.0,3.0,1.0,0,34.74880219028063,4.6680355920602326,False,False,True,False,False,0
6000,0,13.33,203.12,2,12,8.0,66000.0,0,0,0.22972972972972974,20.11,16.0,0.0,7058,50.8,26.0,0.0,0.0,0,22.32991101984942,3.7508555783709787,False,False,True,False,False,0
20000,0,9.49,640.57,1,6,10.0,78000.0,2,0,0.16351606805293006,16.76,10.0,3.0,24416,95.4,19.0,4.0,0.0,0,20.583162217659137,3.912388774811773,True,False,False,True,False,0
7000,0,5.32,210.81,0,0,3.0,60000.0,0,0,0.16351606805293006,18.68,19.0,0.0,10000,15.6,37.0,1.0,0.0,0,10.74880219028063,2.080766598220397,True,False,False,False,False,0
28000,0,7.89,876.0,0,4,10.0,107863.0,0,0,0.21166608452672023,13.02,13.0,0.0,78736,37.8,23.0,1.0,0.0,0,41.667351129363446,3.164955509924709,False,True,False,True,False,0
4075,0,23.43,158.66,5,25,10.0,37000.0,0,1,0.2225705329153605,12.13,10.0,0.0,18578,74.0,18.0,0.0,0.0,0,18.49965776865161,4.583162217659138,False,False,True,True,False,0
17450,0,9.76,561.1,1,5,3.0,50000.0,2,0,0.21166608452672023,13.13,9.0,0.0,24387,42.0,22.0,0.0,0.0,0,22.833675564681723,6.74880219028063,False,False,True,False,False,0
7100,0,19.52,262.13,3,18,6.0,40000.0,0,0,0.16351606805293006,13.5,12.0,0.0,17011,90.5,16.0,0.0,0.0,0,11.501711156741958,5.248459958932238,False,True,False,True,False,0
30000,0,15.88,1052.94,2,13,10.0,75000.0,1,0,0.21166608452672023,11.46,6.0,0.0,20637,65.1,19.0,0.0,0.0,0,17.415468856947296,5.500342231348392,False,False,True,False,False,0
27000,1,16.29,660.76,2,13,7.0,120000.0,1,1,0.21166608452672023,4.88,7.0,0.0,20130,83.5,14.0,0.0,0.0,0,18.49965776865161,5.834360027378508,False,False,True,True,False,0
12000,0,6.62,368.45,0,1,2.0,46000.0,0,0,0.16351606805293006,16.35,11.0,0.0,17474,35.1,18.0,0.0,0.0,0,29.415468856947296,6.666666666666667,False,False,True,False,False,0
10000,0,15.58,349.51,3,17,3.0,57600.0,1,0,0.16351606805293006,17.1,11.0,0.0,6793,64.7,23.0,1.0,0.0,1,21.08145106091718,8.41615331964408,False,False,True,False,False,0
3800,0,13.67,129.27,2,12,6.0,50000.0,2,0,0.21166608452672023,19.32,16.0,0.0,12901,30.7,41.0,3.0,0.0,0,24.082135523613964,2.833675564681725,True,False,False,True,False,0
10000,0,13.67,340.18,1,9,10.0,57000.0,2,0,0.21166608452672023,3.49,5.0,0.0,4607,79.4,10.0,0.0,0.0,0,16.416153319644078,5.163586584531143,False,False,True,False,False,0
7000,0,6.62,214.93,0,1,3.0,65000.0,1,0,0.29850746268656714,10.28,6.0,0.0,3491,24.2,14.0,2.0,0.0,0,40.24914442162902,6.16290212183436,False,False,True,True,False,0
10975,0,11.53,362.07,1,9,1.0,45000.0,1,0,0.21166608452672023,28.61,11.0,0.0,395,3.0,13.0,0.0,0.0,0,11.835728952772074,3.8357289527720737,False,False,True,True,False,0
16000,0,10.99,523.75,1,6,10.0,140000.0,1,0,0.21166608452672023,23.44,15.0,1.0,9538,55.5,47.0,3.0,0.0,0,45.83436002737851,4.8350444900752905,True,False,False,True,False,0
2500,0,17.57,89.85,3,18,10.0,16560.0,1,0,0.21166608452672023,26.88,7.0,1.0,10179,61.0,20.0,2.0,0.0,0,31.249828884325805,3.5017111567419574,False,True,False,True,False,1
16800,0,10.99,549.94,1,7,10.0,57000.0,2,0,0.21166608452672023,14.76,11.0,0.0,13269,71.0,28.0,2.0,0.0,0,33.163586584531146,4.41615331964408,True,False,False,False,False,0
2375,0,24.99,94.42,5,28,1.0,22000.0,0,1,0.1796875,12.66,10.0,0.0,2585,63.0,11.0,0.0,0.0,0,7.501711156741957,4.41615331964408,False,False,True,False,False,0
35000,0,7.59,1090.17,0,2,10.0,240000.0,2,0,0.21166608452672023,4.94,16.0,0.0,16074,24.3,21.0,2.0,0.0,0,8.583162217659138,2.2477754962354553,True,False,False,True,False,0
20925,1,20.75,563.16,4,21,3.0,89000.0,1,0,0.21166608452672023,7.08,9.0,0.0,1100,8.0,29.0,0.0,0.0,0,24.416153319644078,2.833675564681725,False,False,True,True,False,0
22500,1,13.99,523.42,2,13,10.0,80000.0,2,1,0.21166608452672023,27.96,11.0,0.0,24470,67.0,35.0,2.0,0.0,0,23.16495550992471,3.7508555783709787,False,False,True,True,False,0
20000,0,7.99,626.64,0,4,6.0,95000.0,0,0,0.21166608452672023,12.73,9.0,0.0,11552,79.7,10.0,1.0,0.0,0,8.24914442162902,2.16290212183436,False,False,True,True,False,0
16000,1,12.29,358.27,2,10,10.0,54000.0,1,1,0.21166608452672023,30.82,16.0,0.0,17523,64.4,33.0,1.0,0.0,0,30.581793292265573,3.3319644079397674,False,False,True,True,False,1
21000,1,15.88,509.35,2,13,8.0,92000.0,2,0,0.16351606805293006,14.48,12.0,0.0,21229,34.6,27.0,0.0,0.0,0,23.583846680355922,5.500342231348392,True,False,False,True,False,0
18000,0,11.44,593.06,1,8,8.0,67267.2,2,0,0.21166608452672023,19.07,8.0,0.0,29162,98.5,19.0,2.0,0.0,0,19.16495550992471,4.082135523613963,False,True,False,False,False,0
12625,0,15.31,439.57,2,14,7.0,80000.0,1,1,0.21166608452672023,17.59,10.0,0.0,3882,16.3,23.0,0.0,0.0,0,19.668720054757017,2.833675564681725,True,False,False,True,False,0
7200,0,12.69,241.53,2,11,10.0,95000.0,2,0,0.21166608452672023,7.01,11.0,0.0,9513,48.8,17.0,1.0,0.0,0,13.415468856947296,3.249828884325804,True,False,False,True,False,0
5000,0,11.99,166.05,2,10,3.0,15800.0,1,0,0.16351606805293006,29.25,7.0,0.0,13649,52.5,9.0,0.0,0.0,0,13.582477754962355,3.082819986310746,True,False,False,True,False,0
20000,0,7.26,619.93,0,3,2.0,90000.0,0,0,0.21166608452672023,19.26,24.0,0.0,31178,33.5,53.0,2.0,0.0,0,37.83436002737851,3.082819986310746,True,False,False,True,False,0
19075,1,22.4,531.18,4,22,10.0,51000.0,1,0,0.17096774193548386,25.25,9.0,2.0,3760,27.0,44.0,3.0,1.0,0,24.83504449007529,4.91170431211499,False,True,False,False,False,0
